animal_id,name,datetime,monthyear,date_of_birth,outcome_type,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,outcome_subtype
A652101,Stella,2016-01-06 18:56:00,2016-01-06T18:56:00.000,2011-04-20T00:00:00.000,Return to Owner,Dog,Spayed Female,4 years,Pit Bull/Chow Chow,Tan/White,
A727902,*Jake,2016-06-06 19:48:00,2016-06-06T19:48:00.000,2010-05-27T00:00:00.000,Adoption,Dog,Neutered Male,6 years,Pug Mix,Black/White,
A805553,,2019-10-01 17:17:00,2019-10-01T17:17:00.000,2019-05-28T00:00:00.000,Adoption,Dog,Spayed Female,4 months,Beagle/Dachshund,Black/Tricolor,
A810834,Amigo,2020-01-14 13:54:00,2020-01-14T13:54:00.000,2017-12-21T00:00:00.000,Transfer,Dog,Neutered Male,2 years,Pit Bull/Australian Cattle Dog,Chocolate/Tan,Partner
A789482,Mclaren,2019-02-26 16:21:00,2019-02-26T16:21:00.000,2018-12-18T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Boxer/Australian Cattle Dog,Brown Brindle/White,
A661916,Bella,2014-04-02 17:42:00,2014-04-02T17:42:00.000,2011-08-27T00:00:00.000,Euthanasia,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown,Aggressive
A801634,Simba,2019-10-15 18:21:00,2019-10-15T18:21:00.000,2019-04-06T00:00:00.000,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair Mix,White/Brown Tabby,
A783891,Elizabeth T,2019-01-16 11:28:00,2019-01-16T11:28:00.000,2015-11-08T00:00:00.000,Adoption,Dog,Spayed Female,3 years,Border Terrier,Black/Tan,Foster
A771760,,2018-05-12 19:32:00,2018-05-12T19:32:00.000,2017-05-09T00:00:00.000,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,Snr
A747746,*Hops,2017-05-28 17:44:00,2017-05-28T17:44:00.000,2016-04-24T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,
A842461,*Ruby,2021-10-27 09:50:00,2021-10-27T09:50:00.000,2021-08-05T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Foster
A681272,Chucky,2014-06-17 13:29:00,2014-06-17T13:29:00.000,2011-06-14T00:00:00.000,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown,Partner
A711258,Cash,2015-11-03 19:38:00,2015-11-03T19:38:00.000,2012-09-04T00:00:00.000,Adoption,Dog,Neutered Male,3 years,Boxer Mix,White/Brown Brindle,
A697903,,2015-03-04 09:00:00,2015-03-04T09:00:00.000,2014-11-18T00:00:00.000,Transfer,Cat,Unknown,3 months,Siamese Mix,Lynx Point,SCRP
A689065,,2014-09-29 13:08:00,2014-09-29T13:08:00.000,2014-08-09T00:00:00.000,Transfer,Dog,Intact Female,1 month,Flat Coat Retriever/Pit Bull,Buff,Partner
A676139,*Iona,2017-03-08 07:51:00,2017-03-08T07:51:00.000,2008-04-09T00:00:00.000,Adoption,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White,Foster
A676256,Maxey,2014-04-07 18:49:00,2014-04-07T18:49:00.000,1999-04-07T00:00:00.000,Return to Owner,Cat,Spayed Female,15 years,Domestic Shorthair Mix,Torbie,
A667657,Rye,2013-12-01 13:10:00,2013-12-01T13:10:00.000,2006-11-20T00:00:00.000,Adoption,Dog,Neutered Male,7 years,Mastiff Mix,Brown Brindle/White,
A798215,,2019-06-24 18:06:00,2019-06-24T18:06:00.000,2017-06-23T00:00:00.000,Euthanasia,Other,Unknown,2 years,Raccoon,Brown/Black,Rabies Risk
A595061,Gypsy,2022-08-18 18:07:00,2022-08-18T18:07:00.000,2010-10-01T00:00:00.000,Return to Owner,Dog,Spayed Female,11 years,Labrador Retriever Mix,Red/White,
A774385,,2018-06-30 16:45:00,2018-06-30T16:45:00.000,2018-04-07T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,
A771075,,2018-06-23 20:16:00,2018-06-23T20:16:00.000,2018-04-15T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,Foster
A679944,,2014-06-01 17:40:00,2014-06-01T17:40:00.000,2012-05-28T00:00:00.000,Transfer,Dog,Spayed Female,2 years,Cairn Terrier Mix,White/Buff,Partner
A698183,*Eleanor,2015-03-12 16:13:00,2015-03-12T16:13:00.000,2013-03-06T00:00:00.000,Euthanasia,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle,Suffering
A726827,Sweet Pea,2017-05-29 17:07:00,2017-05-29T17:07:00.000,2016-04-15T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie,
A662741,*Todd,2013-10-05 12:42:00,2013-10-05T12:42:00.000,2013-08-11T00:00:00.000,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,Partner
A796941,*Carrot,2019-08-03 14:40:00,2019-08-03T14:40:00.000,2019-04-27T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Cream Tabby,Foster
A718387,*Jack Frost,2016-01-16 16:12:00,2016-01-16T16:12:00.000,2006-12-29T00:00:00.000,Adoption,Dog,Neutered Male,9 years,American Eskimo Mix,Cream,
A837504,,2021-06-27 14:11:00,2021-06-27T14:11:00.000,2021-05-14T00:00:00.000,Transfer,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Black/Tricolor,Partner
A737776,,2016-11-08 18:16:00,2016-11-08T18:16:00.000,2016-01-04T00:00:00.000,Adoption,Dog,Spayed Female,10 months,Yorkshire Terrier Mix,Black/Brown,
A767108,Dotty,2018-05-06 19:36:00,2018-05-06T19:36:00.000,2015-02-23T00:00:00.000,Adoption,Dog,Spayed Female,3 years,Boston Terrier Mix,White/Blue,
A792484,Taros,2020-05-31 13:00:00,2020-05-31T13:00:00.000,2018-04-11T00:00:00.000,Adoption,Dog,Neutered Male,2 years,German Shepherd Mix,Cream,
A731104,*Zakarin,2016-09-20 11:28:00,2016-09-20T11:28:00.000,2016-04-20T00:00:00.000,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby,Foster
A842306,*Lemondrop,2021-09-24 18:37:00,2021-09-24T18:37:00.000,2020-09-13T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Vizsla Mix,Red/White,
A784970,Ziggy,2019-03-16 11:31:00,2019-03-16T11:31:00.000,2018-05-24T00:00:00.000,Return to Owner,Dog,Neutered Male,9 months,Pit Bull Mix,White/Black,
A771103,,2018-06-23 17:45:00,2018-06-23T17:45:00.000,2018-03-16T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue,Foster
A777152,,2018-07-24 00:00:00,2018-07-24T00:00:00.000,2018-07-20T00:00:00.000,Transfer,Cat,Unknown,4 days,Domestic Shorthair Mix,Brown Tabby,Partner
A882677,*Tres,2023-06-13 14:28:00,2023-06-13T14:28:00.000,2023-05-08T00:00:00.000,Transfer,Cat,Intact Male,1 month,Domestic Shorthair,Black,Partner
A687949,Apollo,2014-10-10 17:53:00,2014-10-10T17:53:00.000,2012-09-12T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Australian Kelpie Mix,Black/Tan,
A833864,,2021-05-12 16:48:00,2021-05-12T16:48:00.000,2021-05-04T00:00:00.000,Euthanasia,Cat,Intact Male,1 weeks,Domestic Shorthair,Orange Tabby/White,Suffering
A706245,,2015-06-26 17:12:00,2015-06-26T17:12:00.000,2015-06-11T00:00:00.000,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,Partner
A713109,,2015-10-04 09:22:00,2015-10-04T09:22:00.000,2013-10-02T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat Mix,Brown,Rabies Risk
A718705,*Thor,2016-01-12 19:00:00,2016-01-12T19:00:00.000,2014-01-05T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Siberian Husky Mix,Black/White,
A685791,Chispa,2014-08-13 18:41:00,2014-08-13T18:41:00.000,2013-02-12T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Catahoula Mix,White/Tan,
A803510,Rocky,2019-09-03 11:56:00,2019-09-03T11:56:00.000,2018-03-02T00:00:00.000,Transfer,Dog,Intact Male,1 year,Yorkshire Terrier Mix,Black/Tan,Partner
A732051,*Cinnamon,2016-08-08 15:12:00,2016-08-08T15:12:00.000,2016-06-24T00:00:00.000,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie,Partner
A743602,*Dodger,2017-02-14 14:46:00,2017-02-14T14:46:00.000,2016-05-01T00:00:00.000,Transfer,Other,Intact Male,9 months,Guinea Pig Mix,Tricolor,Partner
A744629,Hazel,2017-03-15 11:49:00,2017-03-15T11:49:00.000,2012-03-04T00:00:00.000,Adoption,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Blue/White,
A776224,Taylor,2018-07-12 19:02:00,2018-07-12T19:02:00.000,2011-09-26T00:00:00.000,Transfer,Dog,Spayed Female,6 years,Shiba Inu Mix,Tan,Partner
A788493,,2019-02-07 13:12:00,2019-02-07T13:12:00.000,2018-04-03T00:00:00.000,Transfer,Dog,Neutered Male,10 months,Standard Poodle/Labrador Retriever,Cream,Partner
A754938,Ivory,2017-07-29 15:24:00,2017-07-29T15:24:00.000,2016-06-06T00:00:00.000,Return to Owner,Dog,Intact Female,1 year,Australian Cattle Dog/German Shepherd,Black/Brown,
A839879,*Winnie,2021-09-09 11:55:00,2021-09-09T11:55:00.000,2020-08-05T00:00:00.000,Transfer,Dog,Spayed Female,1 year,Labrador Retriever/Beagle,Black/White,Out State
A719479,Snake Finder,2017-08-13 13:55:00,2017-08-13T13:55:00.000,2015-01-21T00:00:00.000,Return to Owner,Dog,Neutered Male,2 years,Miniature Pinscher,Black/Tan,
A720562,*Joni,2016-02-21 12:39:00,2016-02-21T12:39:00.000,2012-02-11T00:00:00.000,Adoption,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Tortie,
A718919,,2016-01-09 14:55:00,2016-01-09T14:55:00.000,2015-01-09T00:00:00.000,Transfer,Other,Unknown,1 year,Rabbit Sh Mix,Black/White,Partner
A766116,Max,2018-02-13 11:14:00,2018-02-13T11:14:00.000,2015-02-02T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,Rottweiler/Staffordshire,Blue/Tan,
A882679,*Uno,2023-06-13 14:27:00,2023-06-13T14:27:00.000,2023-05-08T00:00:00.000,Transfer,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,Partner
A667908,,2013-11-25 11:56:00,2013-11-25T11:56:00.000,2013-02-24T00:00:00.000,Transfer,Dog,Intact Female,9 months,Pit Bull Mix,White,Partner
A721171,Louie,2016-02-25 15:51:00,2016-02-25T15:51:00.000,2015-12-07T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Dachshund Mix,Red/White,
A819694,Zoey,2020-07-12 13:42:00,2020-07-12T13:42:00.000,2020-03-12T00:00:00.000,Transfer,Dog,Intact Female,4 months,Yorkshire Terrier Mix,Black/White,Partner
A605223,*Coconut,2014-07-05 18:49:00,2014-07-05T18:49:00.000,2010-09-05T00:00:00.000,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White,
A761895,,2017-11-18 14:25:00,2017-11-18T14:25:00.000,2017-09-03T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Brown Tabby,
A848454,Olli,2022-01-07 13:02:00,2022-01-07T13:02:00.000,2014-04-20T00:00:00.000,Adoption,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Orange Tabby,
A729037,Blanco,2016-07-01 18:44:00,2016-07-01T18:44:00.000,2016-04-12T00:00:00.000,Adoption,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,
A832174,Monster,2021-04-16 16:11:00,2021-04-16T16:11:00.000,2013-04-09T00:00:00.000,Adoption,Dog,Spayed Female,8 years,Pit Bull,Blue,
A797068,Chumley,2019-06-15 17:25:00,2019-06-15T17:25:00.000,2017-06-08T00:00:00.000,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,
A731908,*Shorty,2016-09-04 17:33:00,2016-09-04T17:33:00.000,2015-07-29T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Staffordshire/Basset Hound,Brown Brindle/White,
A705501,Chato,2015-06-27 13:19:00,2015-06-27T13:19:00.000,2015-03-12T00:00:00.000,Return to Owner,Dog,Intact Male,3 months,Boxer,Black Brindle/White,
A684628,*Cody,2014-08-01 18:05:00,2014-08-01T18:05:00.000,2013-07-26T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Akita Mix,Sable,
A788671,Lulu,2019-07-06 18:12:00,2019-07-06T18:12:00.000,2017-10-06T00:00:00.000,Adoption,Dog,Spayed Female,1 year,German Shepherd Mix,Red,
A740771,*Edmund,2016-12-24 15:52:00,2016-12-24T15:52:00.000,2015-12-22T00:00:00.000,Return to Owner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Yellow,
A773488,*O'Malley,2018-07-25 06:31:00,2018-07-25T06:31:00.000,2018-04-29T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Foster
A692406,*Remington,2014-12-01 16:02:00,2014-12-01T16:02:00.000,2013-11-19T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Australian Shepherd/Australian Cattle Dog,Black/Yellow Brindle,
A876884,Texas,2023-06-13 14:31:00,2023-06-13T14:31:00.000,2021-03-21T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Plott Hound Mix,Black Brindle/Black,
A697608,Effie,2015-02-27 18:10:00,2015-02-27T18:10:00.000,2014-11-26T00:00:00.000,Adoption,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby/White,
A753292,Chaco,2017-07-05 15:19:00,2017-07-05T15:19:00.000,2001-07-04T00:00:00.000,Adoption,Cat,Neutered Male,16 years,Persian,White/Brown Tabby,
A732325,Tobi,2016-08-19 18:01:00,2016-08-19T18:01:00.000,2015-02-06T00:00:00.000,Return to Owner,Dog,Spayed Female,1 year,Labrador Retriever/Pit Bull,Chocolate/Black,
A836935,Aries,2021-06-19 16:08:00,2021-06-19T16:08:00.000,2020-06-15T00:00:00.000,Return to Owner,Dog,Intact Male,1 year,Siberian Husky Mix,Black/Tan,
A720727,Rooster 11,2016-03-08 13:47:00,2016-03-08T13:47:00.000,2015-02-14T00:00:00.000,Adoption,Bird,Intact Male,1 year,Chicken Mix,Black/Red,
A753146,*Susan,2017-08-05 17:40:00,2017-08-05T17:40:00.000,2017-06-02T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,
A716395,*Jenny,2015-11-28 17:27:00,2015-11-28T17:27:00.000,2013-11-19T00:00:00.000,Transfer,Dog,Intact Female,2 years,Pit Bull Mix,Fawn/White,Partner
A664661,Lily,2013-10-13 17:04:00,2013-10-13T17:04:00.000,2013-08-07T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,
A705337,Haylie,2017-08-15 12:43:00,2017-08-15T12:43:00.000,2013-06-16T00:00:00.000,Adoption,Dog,Spayed Female,4 years,Pit Bull Mix,Tan/White,Foster
A791446,Leopold,2019-03-31 13:58:00,2019-03-31T13:58:00.000,2016-03-28T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,English Bulldog,White/Brown,
A738706,,2016-11-20 09:00:00,2016-11-20T09:00:00.000,2014-11-19T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Orange Tabby,SCRP
A728903,Izzy,2017-05-21 15:18:00,2017-05-21T15:18:00.000,2015-06-10T00:00:00.000,Adoption,Dog,Spayed Female,1 year,American Bulldog Mix,Black/White,
A832041,Tiny,2021-04-17 12:33:00,2021-04-17T12:33:00.000,2019-04-06T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black,Offsite
A790939,,2019-03-19 13:34:00,2019-03-19T13:34:00.000,2019-03-18T00:00:00.000,Transfer,Cat,Unknown,1 day,Domestic Shorthair Mix,Black,Partner
A790255,Pantera,2019-03-12 17:37:00,2019-03-12T17:37:00.000,2017-03-07T00:00:00.000,Rto-Adopt,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Black,
A798379,,2019-07-13 12:36:00,2019-07-13T12:36:00.000,2018-06-25T00:00:00.000,Transfer,Dog,Intact Male,1 year,Chihuahua Shorthair/Rat Terrier,Tricolor,Partner
A690186,Keylow,2015-10-08 17:06:00,2015-10-08T17:06:00.000,2014-02-15T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Miniature Poodle Mix,White,
A754460,,2017-07-25 12:06:00,2017-07-25T12:06:00.000,2017-04-21T00:00:00.000,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black,Snr
A760255,Deuce,2017-10-23 15:38:00,2017-10-23T15:38:00.000,2016-10-15T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Black Mouth Cur Mix,Brown/Black,
A695222,Bochy,2015-01-15 18:19:00,2015-01-15T18:19:00.000,2013-01-11T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Flat Coat Retriever Mix,Black/White,
A842803,Charlie,2021-09-23 18:10:00,2021-09-23T18:10:00.000,2021-07-21T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Pit Bull,Tan,
A752298,Maddie,2017-08-15 14:13:00,2017-08-15T14:13:00.000,2009-06-20T00:00:00.000,Adoption,Cat,Spayed Female,8 years,Domestic Medium Hair Mix,Torbie,
A664356,Azul,2013-10-03 16:37:00,2013-10-03T16:37:00.000,2013-03-03T00:00:00.000,Transfer,Dog,Intact Male,7 months,Pit Bull Mix,Blue/White,Partner
A817406,Janice,2020-05-27 12:06:00,2020-05-27T12:06:00.000,2016-05-15T00:00:00.000,Return to Owner,Dog,Spayed Female,4 years,Labrador Retriever/Pit Bull,Tan/White,
A736221,,2016-10-07 09:42:00,2016-10-07T09:42:00.000,2014-10-07T00:00:00.000,Euthanasia,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,Suffering
A702402,*Tic,2015-07-08 08:55:00,2015-07-08T08:55:00.000,2015-04-06T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,Foster
A789594,Morena,2019-02-26 19:33:00,2019-02-26T19:33:00.000,2015-02-24T00:00:00.000,Adoption,Dog,Spayed Female,4 years,Chihuahua Longhair Mix,Brown/Black,
A711356,J.D.,2015-09-11 13:50:00,2015-09-11T13:50:00.000,2009-09-05T00:00:00.000,Transfer,Dog,Neutered Male,6 years,Labrador Retriever Mix,Chocolate,Partner
A729769,*Gracie,2016-07-03 13:52:00,2016-07-03T13:52:00.000,2015-06-23T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico,
A882678,*Dos,2023-06-13 14:28:00,2023-06-13T14:28:00.000,2023-05-08T00:00:00.000,Transfer,Cat,Intact Male,1 month,Domestic Shorthair,Black,Partner
A671609,Wilson,2015-07-02 11:04:00,2015-07-02T11:04:00.000,2013-01-28T00:00:00.000,Transfer,Dog,Neutered Male,2 years,Labrador Retriever,Tan/White,Partner
A671789,Sam,2014-02-03 16:48:00,2014-02-03T16:48:00.000,2012-01-30T00:00:00.000,Adoption,Dog,Intact Male,2 years,Miniature Poodle/Miniature Schnauzer,Buff,
A730774,*Noodles,2016-07-16 19:03:00,2016-07-16T19:03:00.000,2016-01-10T00:00:00.000,Adoption,Dog,Neutered Male,6 months,Jack Russell Terrier Mix,Black,
A748210,,2017-05-04 12:47:00,2017-05-04T12:47:00.000,2016-04-30T00:00:00.000,Rto-Adopt,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tricolor,
A825041,,2020-10-27 09:48:00,2020-10-27T09:48:00.000,2019-10-26T00:00:00.000,Disposal,Other,Unknown,1 year,Bat,Brown,
A566568,Duck,2019-02-23 11:33:00,2019-02-23T11:33:00.000,2009-02-12T00:00:00.000,Adoption,Dog,Neutered Male,10 years,Harrier Mix,Brown/Black,
A767611,Queen,2018-03-17 13:16:00,2018-03-17T13:16:00.000,2016-09-04T00:00:00.000,Return to Owner,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/Brown Brindle,
A711270,,2015-10-22 09:00:00,2015-10-22T09:00:00.000,2014-09-04T00:00:00.000,Transfer,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Brown Tabby/White,SCRP
A669647,Theodore,2014-01-03 14:36:00,2014-01-03T14:36:00.000,2012-12-24T00:00:00.000,Return to Owner,Dog,Intact Male,1 year,Australian Cattle Dog/Labrador Retriever,Tan/White,
A827274,*Fizzle,2020-12-30 15:24:00,2020-12-30T15:24:00.000,2020-09-02T00:00:00.000,Transfer,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby,Partner
A799811,Angel,2019-10-22 08:21:00,2019-10-22T08:21:00.000,2012-07-12T00:00:00.000,Adoption,Dog,Spayed Female,7 years,Chihuahua Shorthair,Cream,Foster
A725432,Clark,2017-09-06 17:08:00,2017-09-06T17:08:00.000,2011-04-29T00:00:00.000,Return to Owner,Dog,Neutered Male,6 years,Staffordshire/Boxer,Black/White,
A712266,,2015-09-20 07:57:00,2015-09-20T07:57:00.000,2015-08-20T00:00:00.000,Died,Other,Unknown,4 weeks,Bat,Brown/Black,In Kennel
A687011,Gigi,2014-09-04 17:58:00,2014-09-04T17:58:00.000,2013-12-30T00:00:00.000,Adoption,Dog,Spayed Female,8 months,Boston Terrier Mix,Black/White,
A826220,,2020-11-22 15:20:00,2020-11-22T15:20:00.000,2020-10-29T00:00:00.000,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby,Partner
A742748,Elsie,2018-06-23 20:45:00,2018-06-23T20:45:00.000,2007-01-27T00:00:00.000,Adoption,Cat,Spayed Female,11 years,Domestic Shorthair Mix,White/Black,Foster
A671765,Negra,2014-07-06 15:58:00,2014-07-06T15:58:00.000,2013-01-30T00:00:00.000,Return to Owner,Dog,Spayed Female,1 year,Dachshund Wirehair Mix,Black/White,
A774643,Molly,2018-06-22 12:27:00,2018-06-22T12:27:00.000,2018-02-03T00:00:00.000,Transfer,Dog,Intact Female,4 months,Miniature Schnauzer Mix,Brown,Partner
A718679,Sam,2016-01-24 18:03:00,2016-01-24T18:03:00.000,2015-01-04T00:00:00.000,Adoption,Dog,Neutered Male,1 year,American Foxhound Mix,White/Black,
A746806,*Palmer,2017-04-13 17:12:00,2017-04-13T17:12:00.000,2016-04-09T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Anatol Shepherd,Tan,
A886663,*Twinkle,2023-08-19 15:17:00,2023-08-19T15:17:00.000,2023-04-09T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair,Brown Tabby/White,
A793783,Spinner,2019-07-13 14:54:00,2019-07-13T14:54:00.000,2019-04-20T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,Foster
A810108,,2019-12-09 17:29:00,2019-12-09T17:29:00.000,2019-09-23T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Labrador Retriever,Tricolor,
A692379,Maunster,2014-12-20 17:23:00,2014-12-20T17:23:00.000,2014-10-19T00:00:00.000,Adoption,Dog,Neutered Male,2 months,German Shepherd/Labrador Retriever,Tan,Foster
A799586,,2019-07-14 17:27:00,2019-07-14T17:27:00.000,2017-07-10T00:00:00.000,Transfer,Cat,Unknown,2 years,Domestic Shorthair,Cream Tabby/White,Snr
A779909,,2018-09-11 18:06:00,2018-09-11T18:06:00.000,2016-09-06T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,Snr
A706720,Nikko,2015-07-24 17:19:00,2015-07-24T17:19:00.000,2011-07-02T00:00:00.000,Adoption,Dog,Neutered Male,4 years,Miniature Schnauzer Mix,Tan/Gray,
A823496,*Rigatoni,2020-11-03 09:15:00,2020-11-03T09:15:00.000,2020-08-17T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair,Black/White,Foster
A678591,Parker,2014-05-14 19:06:00,2014-05-14T19:06:00.000,2014-03-02T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Cardigan Welsh Corgi Mix,Tricolor,
A735888,Coco,2016-10-01 17:26:00,2016-10-01T17:26:00.000,2014-10-01T00:00:00.000,Return to Owner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/Brown,
A669875,Daisy,2013-12-30 14:06:00,2013-12-30T14:06:00.000,2008-12-29T00:00:00.000,Return to Owner,Dog,Spayed Female,5 years,Lhasa Apso Mix,Black,
A888896,Tofu,2023-09-16 11:59:00,2023-09-16T11:59:00.000,2016-09-16T00:00:00.000,Return to Owner,Dog,Spayed Female,7 years,Silky Terrier,Tan/Black,
A820871,,2020-07-31 11:36:00,2020-07-31T11:36:00.000,2020-05-31T00:00:00.000,Transfer,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,Partner
A803732,*Ginny,2019-09-14 12:03:00,2019-09-14T12:03:00.000,2019-05-11T00:00:00.000,Adoption,Dog,Spayed Female,4 months,Boxer,Brown/White,
A698165,,2015-03-07 09:45:00,2015-03-07T09:45:00.000,2015-02-06T00:00:00.000,Died,Other,Unknown,4 weeks,Bat,Brown/Black,
A635766,Shadow,2014-01-07 11:19:00,2014-01-07T11:19:00.000,2012-06-27T00:00:00.000,Return to Owner,Dog,Neutered Male,1 year,Pit Bull/Boxer,Chocolate/White,
A772493,Molly,2018-05-21 19:18:00,2018-05-21T19:18:00.000,2016-05-20T00:00:00.000,Return to Owner,Dog,Spayed Female,2 years,German Shepherd Mix,Tan/Black,
A736505,Tommy,2016-11-20 17:44:00,2016-11-20T17:44:00.000,2016-09-19T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,Foster
A819006,Little Girl,2020-08-11 17:05:00,2020-08-11T17:05:00.000,2018-03-19T00:00:00.000,Adoption,Cat,Spayed Female,2 years,Domestic Longhair,White,
A754796,*Guppy,2017-09-30 09:51:00,2017-09-30T09:51:00.000,2017-06-30T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,Foster
A717893,Rasgo,2015-12-18 18:13:00,2015-12-18T18:13:00.000,2015-08-18T00:00:00.000,Adoption,Dog,Neutered Male,4 months,Havanese Mix,Apricot,
A810461,Chance,2019-12-23 18:25:00,2019-12-23T18:25:00.000,2017-12-14T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Pit Bull,Black,
A714226,Lars,2015-10-26 00:00:00,2015-10-26T00:00:00.000,2008-10-24T00:00:00.000,Transfer,Dog,Intact Male,7 years,Yorkshire Terrier Mix,Black/Brown,Partner
A888762,Peach,2023-09-16 12:33:00,2023-09-16T12:33:00.000,2023-03-10T00:00:00.000,Return to Owner,Cat,Neutered Male,6 months,Domestic Shorthair,Orange Tabby,
A787336,*Genevieve,2019-03-25 18:19:00,2019-03-25T18:19:00.000,2017-01-11T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,Foster
A688756,,2014-09-27 17:08:00,2014-09-27T17:08:00.000,2014-07-08T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby,
A816306,*Jelly Bean,2020-06-17 13:23:00,2020-06-17T13:23:00.000,2020-04-12T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Black,Foster
